count,gazeX,gazeY,pitch,roll,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,eulerX,eulerY,eulerZ,faceX,faceY,leftEyeleft,leftEyetop,leftEyeright,leftEyebottom,rightEyeleft,rightEyetop,rightEyeright,rightEyebottom
931,809,1389,-27.109898,2.8704517,0.0973132774233818,0.047466062009334564,-0.01374935545027256,0.5794144868850708,8.698400497436523,4.939388751983643,-11.18258,0.14460538,-1.8450085,438.75,858.75,630.0,230.5,472.5,706.875,364.5,235.2,201.75,719.25
932,809,1389,-26.941538,2.771718,-0.011420736089348793,-0.022172575816512108,-0.013138489797711372,0.5123748183250427,8.688823699951172,4.539545059204102,-10.964703,1.5396974,-2.147624,433.125,858.75,626.25,230.5,468.75,706.875,364.5,235.7,201.75,721.125
933,809,1389,-26.880436,2.717412,-0.13298292458057404,-0.15778465569019318,0.011296119540929794,0.38787251710891724,8.688823699951172,4.348002910614014,-11.302631,0.4522052,-1.6544195,438.75,858.75,626.25,230.5,468.75,706.875,364.5,235.2,201.75,719.25
934,809,1389,-27.008938,2.8422227,0.001407433534041047,4.294382524676621E-4,-0.0394056960940361,0.5578660368919373,8.609811782836914,4.513207912445068,-12.003476,1.3322762,-2.1613255,433.125,851.25,626.25,231.0,468.75,708.75,363.75,235.0,206.25,723.75
935,269,1729,-27.110476,2.734815,0.044778864830732346,0.01936626061797142,-0.021690603345632553,0.4788549542427063,8.681640625,4.611373424530029,-11.426903,-0.47475225,-1.9169003,433.125,858.75,622.5,230.5,465.0,706.875,360.75,235.7,198.0,721.125
936,269,1729,-27.075096,2.7014518,-0.01080987136811018,-7.922922377474606E-4,-0.018636276945471764,0.5291347503662109,8.657697677612305,4.477293968200684,-10.4214735,-0.13248217,-2.2042246,433.125,858.75,618.75,230.5,461.25,706.875,356.25,235.0,198.75,723.75
937,269,1729,-27.010855,2.5749044,0.008737816475331783,0.023642316460609436,-0.00580810708925128,0.3663240373134613,8.729525566101074,4.364762783050537,-11.076985,0.05594947,-2.5152779,433.125,858.75,614.25,229.8,462.0,709.5,356.25,235.0,198.75,723.75
938,269,1729,-27.013899,2.4932392,-0.005312084220349789,0.01631193608045578,-0.024134064093232155,0.5195576548576355,8.645726203918457,4.443774223327637,-12.271731,0.09835097,-2.4208426,433.125,858.75,618.75,230.0,461.25,705.0,357.0,235.7,194.25,721.125
939,53,1559,-26.782019,2.0252702,0.041724540293216705,-0.026448633521795273,-0.03146444633603096,0.5770202279090881,8.597841262817383,4.745452880859375,-10.653505,1.1656042,-3.2200544,412.5,853.125,597.0,226.7,434.25,687.375,327.0,231.7,164.25,706.125
940,53,1559,-26.682484,2.0089715,-0.015696793794631958,0.01631193608045578,0.017404772341251373,0.20830190181732178,8.760651588439941,4.319271564483643,-10.296495,1.4185525,-3.204687,405.0,853.125,596.25,227.0,438.75,693.75,330.75,232.2,168.0,708.0
